source,last_updated,indicator,period,consumer_price_index_and_inflation
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2013-07,11.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2013-06,11.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2013-05,11.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2013-04,10.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2013-03,10.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2013-02,10.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2013-01,10.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2012-12,12.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2012-11,12.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2012-10,11.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2012-09,11.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2012-08,11.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2012-07,12.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2012-06,11.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2012-05,11.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2012-04,10.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2012-03,10.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2012-02,9.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2012-01,8.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2011-12,8.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2011-11,8.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2011-10,8.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2011-09,8.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2011-08,8.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2011-07,8.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2011-06,8.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2011-05,8.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2011-04,9.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2011-03,9.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2011-02,9.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2011-01,9.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2010-12,8.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2010-11,9.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2010-10,9.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2010-09,9.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2010-08,9.4
